% 1. Title: Real estate database of Antwerp
%
@RELATION realEstateAntwerp

@ATTRIBUTE nbOfPhotos  			NUMERIC
@ATTRIBUTE nbOfHotels   		NUMERIC
@ATTRIBUTE nbOfCafes  			NUMERIC
@ATTRIBUTE nbOfRestaurants		NUMERIC
@ATTRIBUTE nbOfShops			NUMERIC
@ATTRIBUTE popularity           NUMERIC
@ATTRIBUTE normSalePrice		NUMERIC
@ATTRIBUTE normRentPrice		NUMERIC
@ATTRIBUTE normPrice            NUMERIC

@DATA

0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.0004149377593361,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.078877844311489,0.31666666666667,0.19777225548908
0,0,0,0,0,0,0.20664781147655,0,0.10332390573828
0,0,0,0,0,0,0,0.10923433511336,0.054617167556678
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5,0,0,0,0,0.0020746887966805,0,0.3030303030303,0.15151515151515
0,0,0,0,0,0,0,0,0
0,0,0,2,0,0.044444444444444,0.18014480399867,0.1974025974026,0.18877370070063
22,0,1,0,0,0.10912863070539,0,0.2352380952381,0.11761904761905
29,0,0,0,0,0.012033195020747,0,0,0
40,0,0,0,0,0.016597510373444,0.30055740954371,0.285,0.29277870477186
1,0,0,0,0,0.0004149377593361,0,0,0
3,0,0,0,0,0.0012448132780083,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.0033195020746888,0,0,0
1,0,0,0,0,0.0004149377593361,0,0,0
3,0,0,0,0,0.0012448132780083,0,0,0
8,0,0,0,0,0.0033195020746888,0,0,0
1,0,0,0,0,0.0004149377593361,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3,0,0,1,0,0.023467035500231,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.0004149377593361,0.2148562365912,0,0.1074281182956
0,0,0,0,0,0,0.084819763578197,0.25212121212121,0.1684704878497
0,0,0,0,0,0,0,0.25664646464646,0.12832323232323
0,0,0,0,0,0,0.13976788472581,0,0.069883942362906
0,0,0,0,0,0,0.51173343046603,0,0.25586671523302
0,0,0,0,0,0,0.16939890710383,0.1959375,0.18266820355191
1,0,0,0,0,0.0004149377593361,0,0.20518918918919,0.10259459459459
3,0,0,0,0,0.0012448132780083,0.25562388094184,0,0.12781194047092
0,0,0,0,0,0,0,0.33160858585859,0.16580429292929
2,0,0,0,0,0.0008298755186722,0.20479653156474,0.30622009569378,0.25550831362926
1,0,0,0,0,0.0004149377593361,0,0.26641173018173,0.13320586509086
14,0,0,1,2,0.085174207995785,0,0.24428571428571,0.12214285714286
1,0,1,1,2,0.17978001712442,0.18098796149904,0,0.090493980749518
5,0,0,0,0,0.0020746887966805,0,0.23071428571429,0.11535714285714
5,0,0,0,0,0.0020746887966805,0,0.52727272727273,0.26363636363636
6,0,0,0,0,0.0024896265560166,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3,0,0,0,0,0.0012448132780083,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.0004149377593361,0,0,0
1,0,0,0,0,0.0004149377593361,0,0,0
3,0,0,0,0,0.0012448132780083,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.0004149377593361,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0.0008298755186722,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
